"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"220","346","PA- ALLENTOWN",1233349,0,0,0,0,2020-01-21,0,0,1.18929788722184,1.24193194904426
"221","400","TX- LUBBOCK",707296,0,0,0,0,2020-01-21,0,0,1.13487585793466,1.27532938963276
"222","393","TX- EL PASO",1113258,0,0,0,0,2020-01-21,0,0,1.27894191700324,Inf
"223","299","NY- BUFFALO",1378870,0,0,0,0,2020-01-21,0,0,1.11510877771014,1.21031928443064
"224","304","NY- ROCHESTER",1303270,0,0,0,0,2020-01-21,0,0,1.08796730705274,1.17608492010707
"225","296","NY- BINGHAMTON",364639,0,0,0,0,2020-01-21,0,0,1.17509312063793,1.07812052288112
"226","307","NY- SYRACUSE",1069422,0,0,0,0,2020-01-21,0,0,1.06196036967419,1.17400326436257
"227","351","PA- ERIE",722463,0,0,0,0,2020-01-21,0,0,1.18004931433402,1.21295913834494
"228","300","NY- ELMIRA",331145,0,0,0,0,2020-01-21,0,0,1.21217109750868,1.09031118383466
"229","359","PA- SAYRE",197463,0,0,0,0,2020-01-21,0,0,1.2076081508946,1.43251077034202
"230","424","VT- BURLINGTON",646114,0,0,0,0,2020-01-21,0,0,1.10432103624093,1.3242623463961
"231","360","PA- SCRANTON",317755,0,0,0,0,2020-01-21,0,0,1.24948189975288,1.5139696812464
"232","312","NC- DURHAM",1366694,0,0,0,0,2020-01-21,0,0,1.17600428320898,1.66736951933948
"233","313","NC- GREENSBORO",627219,0,0,0,0,2020-01-21,0,0,1.11243892194112,1.19609141788807
"234","315","NC- HICKORY",298883,0,0,0,0,2020-01-21,0,0,1.20553567445567,1.09243086609394
"235","320","NC- WINSTON-SALEM",1137103,0,0,0,0,2020-01-21,0,0,1.12000715495097,1.25693953569644
"236","311","NC- CHARLOTTE",2459473,0,0,0,0,2020-01-21,0,0,1.10440687402838,1.41938592378251
"237","375","TN- JOHNSON CITY",277165,0,0,0,0,2020-01-21,0,0,1.07566424921551,1
"238","309","NC- ASHEVILLE",660204,0,0,0,0,2020-01-21,0,0,1.13110626140445,1.18205446120272
"239","314","NC- GREENVILLE",856416,0,0,0,0,2020-01-21,0,0,1.15720015136803,1.39730264650152
"240","318","NC- RALEIGH",2032974,0,0,0,0,2020-01-21,0,0,1.12753972127029,1.7683554485475
"241","319","NC- WILMINGTON",449671,0,0,0,0,2020-01-21,0,0,1.10232750859102,1.27360679464523
"242","365","SC- CHARLESTON",1039763,0,0,0,0,2020-01-21,0,0,1.08138843913914,1.14666555557004
"243","430","VA- NORFOLK",1289789,0,0,0,0,2020-01-21,0,0,1.14680897222751,1.03571428571429
"244","367","SC- FLORENCE",379572,0,0,0,0,2020-01-21,0,0,1.2010176459109,1.0423856642883
"245","369","SC- SPARTANBURG",374810,0,0,0,0,2020-01-21,0,0,1.22019311207899,27.7576496503709
"246","321","ND- BISMARCK",211242,0,0,0,0,2020-01-21,0,0,1.07209669557454,1.42857142857143
"247","330","OH- DAYTON",1077638,0,0,0,0,2020-01-21,0,0,1.1551932367695,1.21932266461095
"248","326","OH- CANTON",640670,0,0,0,0,2020-01-21,0,0,1.09945920282135,1.37309256857822
"249","328","OH- CLEVELAND",2068625,0,0,0,0,2020-01-21,0,0,1.05619646778657,1.13285488239309
"250","335","OH- YOUNGSTOWN",642648,0,0,0,0,2020-01-21,0,0,1.14012097838662,1.14377060449494
